Id|Codigo|Habilitado
660|10858-1|1
661|10045-1|1
662|10264-2|1
663|110690-2|1
664|110690-3|1
665|11425-1|1
666|11697-2|1
667|11763-2|1
668|11878-3|1
669|13162-1|1
670|13358-3|1
671|112083-1|1
672|11426-2|1
673|11492-1|1
674|11767-2|1
675|11492-4|1
676|11837-6|1
677|1191980406-6|1
678|12773-1|1
679|13026-4|1
680|11415-5|1
681|11417-4|1
682|11430-2|1
683|11700-2|1
684|11933-4|1
685|103796-4|1
686|10448-1|1
687|104739-4|1
688|108812-3|1
689|13648-2|1
690|14270-1|1
691|14959-3|1
692|15826-4|1
693|102633-1|1
694|10815-10|1
695|112083-2|1
696|11417-3|1
697|11837-2|1
698|111858-1|1
699|11416-4|1
700|11426-3|1
701|11492-3|1
702|103797-2|1
703|104739-1|1
704|106407-1|1
705|10776-1|1
706|1983915-8|1
707|1983934-4|1
708|1984100-1|1
709|1984287-2|1
710|1984637-1|1
711|17141-12|1
712|17141-13|1
713|17141-9|1
714|17144-7|1
715|17145-8|1
716|17349-1|1
717|17351-4|1
718|17411-1|1
719|17421-1|1
720|103795-1|1
721|10815-8|1
722|11415-6|1
723|11417-2|1
724|11852-2|1
725|14270-2|1
726|14446-13|1
727|14941-3|1
728|14960-4|1
729|17423-1|1
730|17587-1|1
731|17952-2|1
732|19512-1|1
733|19512-2|1
734|104739-6|1
735|11700-1|1
736|11852-1|1
737|12774-2|1
738|12529-2|1
739|12971-3|1
740|13026-1|1
741|13854-3|1
742|13875-2|1
743|14960-5|1
744|14960-8|1
745|14961-3|1
746|16478-4|1
747|16779-4|1
748|11879-1|1
749|12775-2|1
750|12888-2|1
751|12888-5|1
752|16178-4|1
753|16478-2|1
754|17145-17|1
755|17346-2|1
756|17346-3|1
757|11950-1|1
758|13648-6|1
759|14440-1|1
760|14446-6|1
761|14446-9|1
762|11699-1|1
763|11767-1|1
764|1191980406-2|1
765|11933-1|1
766|12888-1|1
767|12888-3|1
768|13161-4|1
769|13358-5|1
770|13838-1|1
771|13179-3|1
772|14272-4|1
773|14446-14|1
774|14960-2|1
775|14960-6|1
776|13053-1|1
777|13179-1|1
778|13874-1|1
779|13875-3|1
780|14180-1|1
781|16478-10|1
782|17013-4|1
783|17022-1|1
784|17134-7|1
785|17141-2|1
786|14958-18|1
787|14958-4|1
788|14960-7|1
789|14962-3|1
790|16180-4|1
791|1984646-4|1
792|1985099-1|1
793|1985099-2|1
794|19854-3|1
795|1987104-2|1
796|14254-2|1
797|14270-4|1
798|14272-1|1
799|14442-1|1
800|16806-1|1
801|16821-1|1
802|17024-4|1
803|17134-8|1
804|17134-9|1
805|1984232-2|1
806|1984338-2|1
807|1984916-1|1
808|19851-5|1
809|19851-9|1
810|13852-3|1
811|14446-3|1
812|14958-20|1
813|15678-2|1
814|16166-1|1
815|19900221-1|1
816|19900226-3|1
817|19900235-1|1
818|19900309-2|1
819|19541-5|1
820|19583-6|1
821|19605-11|1
822|19605-9|1
823|1980010-4|1
824|16777-3|1
825|16779-3|1
826|16816-1|1
827|17137-8|1
828|17423-3|1
829|17145-3|1
830|17352-3|1
831|17586-3|1
832|17765-1|1
833|18779-3|1
834|11767-3|1
835|11878-4|1
836|12011-1|1
837|12526-2|1
838|14958-6|1
839|14961-1|1
840|16139-1|1
841|16478-11|1
842|16781-1|1
843|11415-4|1
844|11416-8|1
845|11837-3|1
846|11849-4|1
847|11888-1|1
848|1986633-2|1
849|19900013-7|1
850|19900024-3|1
851|19900023-2|1
852|19900063-10|1
853|19900222-2|1
854|19900222-5|1
855|19900270-4|1
856|17583-3|1
857|17713-1|1
858|17752-1|1
859|17973-1|1
860|18919-1|1
861|11415-2|1
862|11519-1|1
863|12971-1|1
864|13657-1|1
865|14446-10|1
866|12698-1|1
867|12698-2|1
868|14961-2|1
869|15124-1|1
870|15826-2|1
871|15679-1|1
872|16722-3|1
873|16812-2|1
874|17022-2|1
875|108316-1|1
876|108812-4|1
877|111057-1|1
878|11416-1|1
879|11416-2|1
880|16166-3|1
881|16779-6|1
882|17134-12|1
883|17135-10|1
884|17137-9|1
885|18933-10|1
886|18933-7|1
887|1919584831-5|1
888|19237-2|1
889|17145-18|1
890|17352-4|1
891|17421-2|1
892|17423-2|1
893|1980545-51|1
894|1980545-6|1
895|1980605-3|1
896|1980606-4|1
897|16180-5|1
898|16478-6|1
899|16806-4|1
900|17129-1|1
901|17134-4|1
902|15679-4|1
903|16111-1|1
904|16432-1|1
905|16806-3|1
906|17134-11|1
907|12971-2|1
908|13161-3|1
909|13393-7|1
910|13420-1|1
911|17587-2|1
912|18779-5|1
913|18933-1|1
914|19212-1|1
915|19900047-1|1
916|19900063-5|1
917|19900063-9|1
918|19900149-1|1
919|17135-9|1
920|17144-4|1
921|17145-12|1
922|17145-9|1
923|17420-1|1
924|11417-1|1
925|11519-2|1
926|11700-5|1
927|11849-1|1
928|13393-3|1
929|13393-5|1
930|13393-6|1
931|14270-3|1
932|14398-1|1
933|19391-8|1
934|19491-4|1
935|19509-4|1
936|19510-6|1
937|11849-2|1
938|1191980406-1|1
939|1191980406-3|1
940|12775-1|1
941|13165-1|1
942|19393-6|1
943|19491-3|1
944|19498-6|1
945|19510-2|1
946|18985-2|1
947|19195-1|1
948|19509-3|1
949|19510-4|1
950|19547-3|1
951|13393-4|1
952|13648-1|1
953|13838-4|1
954|13854-2|1
955|14446-4|1
956|17134-5|1
957|17135-3|1
958|17137-1|1
959|17137-3|1
960|17135-2|1
961|17141-1|1
962|17141-6|1
963|17145-10|1
