Id|Codigo|AplicaASexo|EdadMinima|EdadMaxima|Sexo
3342|F002|3|0|999|A
3343|F009|3|0|999|A
3344|F010|3|25|120|A
3345|V729|3|0|999|A
3346|V730|3|18|64|A
3347|V731|3|0|999|A
3348|V732|3|0|999|A
3349|M131|3|0|999|A
3350|M138|3|0|999|A
3351|M139|3|0|999|A
3352|M140|3|0|999|A
3353|M141|3|0|999|A
3354|V733|3|0|999|A
3355|V734|3|0|999|A
3356|V735|3|18|64|A
3357|V736|3|0|999|A
3358|F011|3|25|120|A
3359|F012|3|25|120|A
3360|F013|3|25|120|A
3361|F018|3|25|120|A
3362|F019|3|25|120|A
3363|F020|3|0|999|A
3364|M142|3|0|999|A
3365|M143|3|0|999|A
3366|M144|3|0|999|A
3367|M145|3|0|999|A
3368|M146|3|0|999|A
3369|V737|3|0|999|A
3370|V739|3|0|999|A
3371|V740|3|18|64|A
3372|V741|3|0|999|A
3373|F021|3|0|999|A
3374|F022|3|0|999|A
3375|F023|3|0|999|A
3376|F024|3|0|999|A
3377|F028|3|0|999|A
3378|V742|3|0|999|A
3379|V743|3|0|999|A
3380|V744|3|0|999|A
3381|M148|3|0|999|A
3382|M150|3|0|999|A
3383|M151|3|0|999|A
3384|M152|3|0|999|A
3385|M153|3|0|999|A
3386|F03X|3|50|120|A
3387|F04X|3|0|999|A
3388|F050|3|0|999|A
3389|F051|3|25|120|A
3390|F058|3|0|999|A
3391|V745|3|18|64|A
3392|V746|3|0|999|A
3393|V747|3|0|999|A
3394|F059|3|0|999|A
3395|F060|3|0|999|A
3396|F061|3|0|999|A
3397|F062|3|0|999|A
3398|F063|3|0|999|A
3399|V749|3|0|999|A
3400|V750|3|18|64|A
3401|V751|3|0|999|A
3402|V752|3|0|999|A
3403|M154|3|0|999|A
3404|M158|3|0|999|A
3405|M159|3|0|999|A
3406|M160|3|0|999|A
3407|M161|3|0|999|A
3408|F064|3|0|999|A
3409|F065|3|0|999|A
3410|F066|3|0|999|A
3411|F067|3|0|999|A
3412|V753|3|0|999|A
3413|V754|3|0|999|A
3414|V755|3|18|64|A
3415|V756|3|0|999|A
3416|M162|3|0|999|A
3417|M163|3|0|999|A
3418|M164|3|0|999|A
3419|M165|3|0|999|A
3420|M166|3|0|999|A
3421|F068|3|0|999|A
3422|F069|3|0|999|A
3423|F070|3|0|999|A
3424|F071|3|0|999|A
3425|V757|3|0|999|A
3426|V759|3|0|999|A
3427|V760|3|18|64|A
3428|V761|3|0|999|A
3429|M167|3|0|999|A
3430|M169|3|0|999|A
3431|M170|3|0|999|A
3432|M171|3|0|999|A
3433|M172|3|0|999|A
3434|F072|3|0|999|A
3435|F078|3|0|999|A
3436|F079|3|0|999|A
3437|F09X|3|0|999|A
3438|V762|3|0|999|A
3439|V763|3|0|999|A
3440|V764|3|0|999|A
3441|V765|3|18|64|A
3442|M173|3|0|999|A
3443|M174|3|0|999|A
3444|M175|3|0|999|A
3445|M179|3|0|999|A
3446|M180|3|0|999|A
3447|F100|3|0|999|A
3448|F101|3|1|120|A
3449|F102|3|5|120|A
3450|F103|3|10|120|A
3451|V766|3|0|999|A
3452|V767|3|0|999|A
3453|V769|3|0|999|A
3454|V770|3|18|64|A
3455|F104|3|10|120|A
3456|F105|3|10|120|A
3457|F106|3|10|120|A
3458|F107|3|10|120|A
3459|M181|3|0|999|A
3460|M182|3|0|999|A
3461|M183|3|0|999|A
3462|M184|3|0|999|A
3463|V771|3|0|999|A
3464|V772|3|0|999|A
3465|V773|3|0|999|A
3466|V774|3|0|999|A
3467|F108|3|10|120|A
3468|F109|3|10|120|A
3469|F110|3|1|120|A
3470|F111|3|10|120|A
3471|M185|3|0|999|A
3472|M189|3|0|999|A
3473|M190|3|0|999|A
3474|M191|3|0|999|A
3475|M192|3|0|999|A
3476|V775|3|18|64|A
3477|V776|3|0|999|A
3478|V777|3|0|999|A
3479|V779|3|0|999|A
3480|F112|3|10|120|A
3481|F113|3|1|120|A
3482|F114|3|10|120|A
3483|F115|3|10|120|A
3484|V780|3|18|64|A
3485|V781|3|0|999|A
