26232|028309|1|AP|S|Z|PBS
26233|028310|1|AP|S|Z|PBS
26234|028311|1|AP|S|Z|PBS
26235|028312|1|AP|S|Z|PBS
26236|028313|1|AP|S|Z|PBS
26237|028314|1|AP|S|Z|PBS
26238|028400|1|AP|S|Z|NULL
26239|028401|1|AP|S|Z|PBS
26240|028402|1|AP|S|Z|PBS
26241|028500|1|AP|S|Z|NULL
26242|028501|1|AP|S|Z|PBS
26243|028502|1|AP|S|Z|PBS
26244|028600|1|AP|S|Z|NULL
26245|028601|1|AP|S|Z|PBS
26246|028602|1|AP|S|Z|PBS
26247|029001|1|AP|S|Z|PBS
26248|029002|1|AP|S|Z|PBS
26249|029101|1|AP|S|Z|PBS
26250|030100|1|AP|S|Z|NULL
26251|030101|1|AP|S|Z|NULL
26252|030102|1|AP|S|Z|NULL
26253|030103|1|AP|S|Z|NULL
26254|030104|1|AP|S|Z|NULL
26255|030105|1|AP|S|Z|PBS
26256|030106|1|AP|S|Z|PBS
26257|030107|1|AP|S|Z|PBS
26258|030108|1|AP|S|Z|PBS
26259|030109|1|AP|S|Z|PBS
26260|030110|1|AP|S|Z|PBS
26261|030111|1|AP|S|Z|PBS
26262|030112|1|AP|S|Z|PBS
26263|030113|1|AP|S|Z|PBS
26264|030200|1|AP|S|Z|NULL
26265|030201|1|AP|S|Z|NULL
26266|030202|1|AP|S|Z|NULL
26267|030203|1|AP|S|Z|NULL
26268|030204|1|AP|S|Z|NULL
26269|030207|1|AP|S|Z|NULL
26270|030208|1|AP|S|Z|PBS
26271|030209|1|AP|S|Z|PBS
26272|030210|1|AP|S|Z|PBS
26273|030211|1|AP|S|Z|PBS
26274|030212|1|AP|S|Z|PBS
26275|030213|1|AP|S|Z|PBS
26276|030214|1|AP|S|Z|PBS
26277|030215|1|AP|S|Z|PBS
26278|030216|1|AP|S|Z|PBS
26279|030217|1|AP|S|Z|PBS
26280|030218|1|AP|S|Z|PBS
26281|030219|1|AP|S|Z|PBS
26282|030220|1|AP|S|Z|PBS
26283|030221|1|AP|S|Z|PBS
26284|030222|1|AP|S|Z|PBS
26285|030223|1|AP|S|Z|PBS
26286|030224|1|AP|S|Z|PBS
26287|030225|1|AP|S|Z|PBS
