Id|CUPS|CIE10
1309|793210|S423
1310|793210|S424
1311|793210|S427
1312|793210|S428
1313|793210|S429
1314|793301|S520
1315|793301|S521
1316|793301|S522
1317|793301|S523
1318|793301|S524
1319|793301|S524
1320|793301|S526
1321|793301|S527
1322|793301|S528
1323|793301|S529
1324|793302|S520
1325|793302|S521
1326|793302|S522
1327|793302|S523
1328|793302|S524
1329|793302|S524
1330|793302|S526
1331|793302|S527
1332|793302|S528
1333|793302|S529
1334|793303|S520
1335|793303|S521
1336|793303|S522
1337|793303|S523
1338|793303|S524
1339|793303|S524
1340|793303|S526
1341|793303|S527
1342|793303|S528
1343|793303|S529
1344|793304|S520
1345|793304|S521
1346|793304|S522
1347|793304|S523
1348|793304|S524
1349|793304|S524
1350|793304|S526
1351|793304|S527
1352|793304|S528
1353|793304|S529
1354|793305|S520
1355|793305|S521
1356|793305|S522
1357|793305|S523
1358|793305|S524
1359|793305|S524
1360|793305|S526
1361|793305|S527
1362|793305|S528
1363|793305|S529
1364|793306|S520
1365|793306|S521
1366|793306|S522
1367|793306|S523
1368|793306|S524
1369|793306|S524
1370|793306|S526
1371|793306|S527
1372|793306|S528
1373|793306|S529
1374|793307|S520
1375|793307|S521
1376|793307|S522
1377|793307|S523
1378|793307|S524
1379|793307|S524
1380|793307|S526
1381|793307|S527
1382|793307|S528
1383|793307|S529
1384|793403|S620
1385|793403|S621
1386|793403|S628
1387|793404|S620
1388|793404|S621
1389|793404|S628
1390|793405|S622
1391|793405|S623
1392|793405|S624
1393|793406|S622
1394|793406|S623
1395|793406|S624
1396|793501|S720
1397|793501|S723
1398|793501|S724
1399|793501|S727
1400|793501|S728
1401|793501|S729
1402|793501|S827
1403|793501|S828
1404|793502|S720
1405|793502|S723
1406|793502|S724
1407|793502|S727
1408|793502|S728
1409|793502|S729
1410|793502|S827
1411|793502|S828
1412|793600|S820
1413|793707|S824
1414|793707|S826
1415|793707|S827
1416|793707|S828
1417|793708|S824
1418|793708|S826
1419|793708|S827
1420|793708|S828
1421|793709|S824
1422|793709|S826
1423|793709|S827
1424|793709|S828
1425|793710|S824
1426|793710|S826
1427|793710|S827
1428|793710|S828
1429|793711|S824
1430|793711|S826
1431|793711|S827
